Algorithm,Density2D,Area2D,Purity2D,Density2DNewTrace,Area2DNewTrace,Purity2DNewTrace,Density3D,Volume3D,Purity3D
,Density_Good_Normalized,Area_Good_Normalized,Purity_Good,Density_Good_Normalized,Area_Good_Normalized,Purity_Good,Density_Good_Normalized,Area_Good_Normalized,Purity_Good
COF_Mean_SD,0.473,0.004,0.5,7.859,0.015,0.602,4.625,0.043,0.602
COF_Median_IQR,0,0,0,8.558,0.009,0.667,5.92,0.026,0.601
COF_Median_MAD,0,0,0,8.809,0.008,0.625,5.246,0.031,0.604
COF_Min_Max,0,0,0,7.306,0.022,0.632,3.771,0.061,0.604
Ensemble_Mean_SD,0.217,0.006,0.8,6.946,0.008,0.617,3.589,0.039,0.605
Ensemble_Median_IQR,0.179,0.004,1,3.187,0.013,0.631,2.582,0.036,0.622
Ensemble_Median_MAD,0.289,0.003,0.75,3.714,0.013,0.621,2.558,0.028,0.604
Ensemble_Min_Max,0,0,0,7.879,0.007,0.621,3.858,0.042,0.602
FAST_ABOD_Mean_SD,0.835,0.24,0.632,0.906,0.344,0.686,1.332,0.242,0.715
FAST_ABOD_Median_IQR,0.726,0.131,0.655,1.261,0.192,0.602,1.902,0.15,0.608
FAST_ABOD_Median_MAD,0.219,0.024,0.955,1.438,0.127,0.6,2.253,0.116,0.614
FAST_ABOD_Min_Max,0.769,0.219,0.594,1.516,0.256,0.603,1.898,0.229,0.651
iForest_Mean_SD,0.359,0.298,0.695,0.928,0.298,0.603,1.214,0.256,0.612
iForest_Median_IQR,0.317,0.206,0.784,0.949,0.286,0.601,1.422,0.213,0.602
iForest_Median_MAD,0.376,0.177,0.787,1.057,0.258,0.618,1.138,0.275,0.606
iForest_Min_Max,0.368,0.185,0.732,0.993,0.271,0.603,1.296,0.233,0.601
INFLO_Mean_SD,0,0,0,1.618,0.023,0.6,4.141,0.013,0.619
INFLO_Median_IQR,0,0,0,5.821,0,0.667,3.064,0.002,0.625
INFLO_Median_MAD,0,0,0,6.893,0.001,0.6,3.497,0.004,0.615
INFLO_Min_Max,0,0,0,9.149,0.003,0.608,5.963,0.013,0.604
KDEOS_Mean_SD,0.181,0.015,0.636,5.846,0.004,0.652,14.205,0.001,0.645
KDEOS_Median_IQR,0.107,0.011,0.8,7.268,0.002,0.689,7.957,0.004,0.619
KDEOS_Median_MAD,0.141,0.017,0.7,8.386,0.002,0.6,7.819,0.005,0.623
KDEOS_Min_Max,0,0,0,7.647,0.002,0.719,12.552,0.001,0.667
KNN_Mean_SD,0.434,0.207,0.832,1.28,0.297,0.639,1.497,0.288,0.619
KNN_Median_IQR,0.744,0.292,0.672,1.624,0.194,0.64,2.189,0.138,0.71
KNN_Median_MAD,0.406,0.168,0.856,1.614,0.207,0.618,1.843,0.193,0.639
KNN_Min_Max,0.89,0.186,0.64,1.412,0.29,0.676,2.29,0.167,0.746
KNNW_Mean_SD,0.463,0.294,0.769,1.206,0.378,0.612,2.183,0.165,0.752
KNNW_Median_IQR,0.162,0.034,0.913,1.66,0.192,0.629,1.755,0.211,0.605
KNNW_Median_MAD,0.328,0.113,0.688,1.719,0.178,0.604,1.664,0.205,0.632
KNNW_Min_Max,0.289,0.165,0.874,1.378,0.279,0.716,2.476,0.153,0.773
LDF_Mean_SD,0.262,0.067,0.781,2.332,0.08,0.605,2.724,0.082,0.613
LDF_Median_IQR,0.249,0.036,0.649,3.662,0.035,0.608,3.447,0.059,0.608
LDF_Median_MAD,0.162,0.025,1,3.4,0.039,0.601,3.801,0.047,0.609
LDF_Min_Max,0.28,0.042,0.939,2.609,0.061,0.6,3.014,0.075,0.614
LDOF_Mean_SD,0.286,0.051,0.574,3.89,0.017,0.633,3.198,0.039,0.604
LDOF_Median_IQR,0,0,0,4.216,0.012,0.658,3.261,0.024,0.602
LDOF_Median_MAD,0,0,0,5.585,0.007,0.607,2.034,0.043,0.604
LDOF_Min_Max,0.492,0.002,0.6,3.189,0.018,0.618,2.549,0.046,0.606
LOF_Mean_SD,0.145,0.015,0.667,2.594,0.033,0.608,3.554,0.048,0.601
LOF_Median_IQR,0,0,0,6.176,0.009,0.621,3.929,0.024,0.608
LOF_Median_MAD,0,0,0,5.413,0.009,0.601,3.171,0.039,0.6
LOF_Min_Max,0.5,0.005,0.8,8.422,0.011,0.61,3.468,0.061,0.6
LOOP_Mean_SD,0.343,0.075,0.565,6.456,0.008,0.622,3.185,0.043,0.619
LOOP_Median_IQR,0,0,0,3.797,0.015,0.602,2.704,0.035,0.614
LOOP_Median_MAD,0,0,0,4.451,0.01,0.613,3.019,0.027,0.622
LOOP_Min_Max,0,0,0,7.982,0.006,0.637,3.883,0.044,0.6
ODIN_Mean_SD,0.349,0.034,0.633,2.72,0.024,0.606,3.121,0.035,0.61
ODIN_Median_IQR,0.386,0.007,0.909,3.747,0.013,0.605,3.999,0.018,0.602
ODIN_Median_MAD,0,0,0,2.712,0.019,0.625,6.052,0.012,0.609
ODIN_Min_Max,0.207,0.018,0.75,7.982,0.006,0.602,3.597,0.04,0.611
SIMLOF_Mean_SD,0.285,0.047,0.571,7.398,0.006,0.667,3.149,0.048,0.605
SIMLOF_Median_IQR,0,0,0,5.188,0.01,0.611,2.776,0.037,0.627
SIMLOF_Median_MAD,0.289,0.003,0.75,5.342,0.009,0.631,2.61,0.043,0.601
SIMLOF_Min_Max,0.228,0.042,0.6,6.883,0.012,0.602,2.973,0.063,0.603
